ref,date,time,boat_status,attack_status,ship_name,type,flag,grt,imo_number,latitude,longitude,position,waters,narration,region,success
1,25.02.2019,1106,anchored,attempted,Name Withheld,bulk carrier,Marshall Islands,36332,NA,03:43.1S,114:26.3E,Taboneo Anchorage,Indonesia,"Duty watchman on routine rounds onboard an anchored ship noticed two robbers attempting to board via the anchor chain. He immediately informed the OOW who raised the alarm and crews mustered. Seeing the crew alertness, the robbers retreated into their waiting skiff and escaped. Incident reported to Taboneo Port Control.",South East Asia,attempted
2,10.05.2019,100,steaming,attempted,Zhe Hai 169,bulk carrier,China,32962,9622784,07:40.8N,128:29.3E,Around 115nm East of Baganga,Philippines,"Unidentified persons in a speedboat approached the ship underway. Alarm raised, crew mustered, and fire hoses pressurized. The persons were observed to be shouting towards the ship while holding steel hooks. After 30 mins of chasing, the boat aborted and moved away. The ship resumed her passage.",South East Asia,attempted
3,22.05.2019,1400,anchored,attempted,El Toro,yacht,Austria,27,NA,00:53.52S,131:14.36E,"Around 0.18nm SE of Pulau Doom, Sorong",Indonesia,"A person in the fishing boat approached an anchored sailing vessel and attempted to steal the sailing vessel’s dinghy. The skipper noticed the person and directed his hand lamp towards the person and shouted. Seeing the alerted skipper, the person let go of the dinghy and moved away. Incident reported to the local authorities.",South East Asia,attempted
4,06.08.2019,2000,anchored,attempted,SG Pegasus,chemical tanker,Panama,8195,9494876,01:06.2N,104:10.7E,Tanjung Uban Anchorage,Indonesia,"Three robbers in a wooden boat came alongside an anchored tanker. They attempted to board the tanker using hooks attached with ropes. Duty Officer on security rounds on the bridge noticed the robbers and raised the alarm, sounded ship’s whistle and shouted at the robbers. Hearing the alarm and seeing the crew alertness, the robbers aborted the attempted boarding and escaped. Batam VTIS informed.",South East Asia,attempted
5,23.09.2019,1700,anchored,attempted,Name Withheld,chemical tanker,Saudi Arabia,29575,NA,13:46N,120:59E,Mabini Anchorage,Philippines,Duty crew onboard an anchored tanker noticed a person attempting to open the anchor hawse pipe cover. Alarm raised and crew mustered. Incident reported to local agent.,South East Asia,attempted
6,14.10.2019,2200,anchored,attempted,Name Withheld,product tanker,Saudi Arabia,29575,NA,03:55N,098:48E,Belawan Anchorage,Indonesia,"Duty crew onboard an anchored tanker noticed a person attempting to board via the anchor chain, while two other persons were waiting in the boat alongside the tanker. Duty crew reported the incident to OOW who raised the alarm. Seeing the alerted crew, the persons escaped in their boat.",South East Asia,attempted
7,05.11.2019,1148,steaming,attempted,Gt Equality,product tanker,Vietnam,4159,9205512,01:12.6N,103:34.3E,Singapore Straits,Singapore,Six persons in two speed boats approached the tanker underway. Duty crew noticed the persons attempting to board the tanker and raised the alarm. Master increased the speed and took evasive manoeuvres resulting in the persons aborting the boarding attempt.,South East Asia,attempted
8,07.11.2019,1900,berthed,attempted,Maersk Borneo,product tanker,Singapore,19758,9341445,03:47.2N,098:41.8E,Belawan Port,Indonesia,"During security rounds, crew onboard the berthed tanker noticed one unknown person trying to board the tanker using a grappling hook. Upon being noticed, the person escaped. Incident reported to Port Authority.",South East Asia,attempted
9,02.12.2019,1910,steaming,attempted,BW Loyalty,tug,Singapore,160,9492622,1:10.94N ,103:56.6E ,Singapore Straits,Singapore,Five to seven persons in a wooden boat approached and attempted to board the tug underway. Duty watchman noticed the boat and raised the alarm resulting in the persons aborting and moving away. ,South East Asia,attempted
1,01.12.2019,35,anchored,attempted,Dione,bulk carrier,Marshall Islands,40622,9213363,17:36.9N ,083:21.0E ,Visakhapatnam Anchorage,India,"Around 15 to 18 persons in three skiffs approached an anchored ship and attempted to board using a rope attached to a hook. Alert crew noticed the attempted boarding and notified the port control and Coast Guard. A patrol vessel was dispatched resulting in the robbers aborting and moving away. After chasing the boats for a while, the patrol boat managed to stop one skiff and arrested the persons onboard. ",Indian Sub-Continent,attempted
1,03.01.2019,445,anchored,attempted,Star Kestrel,tanker,Panama,30068,9321940,10:16N ,064:42W ,Puerto La Cruz Anchorage,Venezuela,"Duty crew onboard an anchored tanker noticed robbers attempting to board using a grappling hook hooked to the guardrails of the poop deck. Alarm was raised, and ship’s horn sounded. Hearing the alerted crew, the robbers aborted the boarding attempt and escaped in their boat. Incident reported to Port Control. ",Americas,attempted
2,19.03.2019,700,anchored,attempted,NA,vehicle carrier,Malta,61106,NA,12:01.66S ,077:12.03W ,Callao Anchorage,Peru,"Four robbers wearing jackets and caps in a small boat approached an anchored ship. Duty crew on routine rounds noticed the robbers attempting to board the ship via the anchor cable. Alarm raised, ship’s horn sounded, and crew directed flashlights towards the robbers. Seeing the alerted crew, the robbers aborted the attempted boarding and escaped. VTS Tramar and local agents informed. A patrol boat was dispatched to search the anchorage area. ",Americas,attempted
3,01.04.2019,745,steaming,fired upon,NA,container,Germany,46009,NA,02:31.8S ,080:05.4W ,"Around 3.6nm WNW of Isla Escalante Island, Guayas",Ecuador,"Duty officer onboard the ship under pilotage noticed a fast-moving target on the radar approaching from astern. Crew alerted, and both searchlights directed towards the approaching boat. A second boat was noticed. One boat, with around 10 persons with grappling hooks followed the ship. The other boat approached the ship from the starboard side and attempted to hook a telescopic ladder to the ship’s rails. The pilot notified port control and the coast guard. The persons fired a few shots towards the search lights resulting in all crew retreating into the bridge and accommodation. Later the boats aborted their approach and moved away. All crew safe. ",Americas,attempted
4,19.04.2019,535,steaming,attempted,NYK Lyra,container,Panama,75201,9229336,03:47.6N ,077:14.3W ,"Buenaventura Channel, Near Buoy No.13",Colombia,A boat with around eight to 10 persons approached the ship under pilotage and attempted to board via the rigged pilot ladder. Duty lookout noticed the boat and raised the alarm. Crew mustered near the pilot ladder resulting in the boat aborting and moving away. The pilot notified the Coast Guard and a patrol boat was dispatched to investigate. ,Americas,attempted
5,03.05.2019,2010,steaming,attempted,Arequipa Queen,bulk carrier,Vanuatu,30598,9758765,00:08.0S ,081:19.9W ,Around 52nm WNW of Cabo Pasado,Ecuador,"Two speed boats with five persons in each boat approached the ship underway. Alarm raised, and crew mustered. The ship increase speed, commenced evasive manoeuvres and started spraying the boats with pressurised fire hoses, resulting in the boats moving away. Crew and ship reported safe. ",Americas,attempted
1,07.01.2019,110,anchored,attempted,Aramon,product tanker,Marshall Islands,42225,9440485,06:15.7N ,003:12.8E ,Lagos SAA,Nigeria,"Around five robbers in a small skiff came alongside an anchored tanker and threw two ropes attached with hooks onto the tanker’s railing. Duty crew on routine rounds heard voices near the bow, noticed the hooks and the skiff. Alarm raised. Non-essential crew members mustered in the citadel. Master requested assistance from the Nigerian Navy patrol boat which immediately responded. Hearing the alarm, the robbers moved away. The patrol boat searched the waters around the tanker. ",Africa,attempted
2,24.01.2019,1935,steaming,fired upon,NA,product tanker,Liberia,11118,NA,03:43N ,006:10E ,Around 35nm South of Brass,Nigeria,"A tanker was fired upon while underway. General alarm sounded, non-essential crews mustered in Citadel and the tanker conduct evasive manoeuvres. Due to the hardening measures, the pirates abort the attack. Incident reported to the Nigerian Navy. ",Africa,attempted
3,25.01.2019,15,steaming,fired upon,Allegra,bulk carrier,Liberia,14599,9114476,03:32.8N ,006:11.6E ,Around 45nm South of Brass,Nigeria,"About five to seven armed pirates in a skiff chased and fired upon the ship underway. General alarm sounded, deck lights switched on, speed increased, and crew mustered in Citadel. Armed guards onboard the ship managed to repel the attempted attack. ",Africa,attempted
4,25.01.2019,1530,steaming,fired upon,Samurai,tanker,Liberia,78845,9378876,03:02N ,006:05E ,Around 76nm SSW of Brass,Nigeria,"Around seven to eight armed pirates in a skiff chased, fired upon and tried to board the tanker underway. General alarm raised, non- essential crews mustered in the citadel and Master commenced evasive manoeuvres. Due to the hardening measures, the pirates aborted the attack. The tanker and crews reported safe. ",Africa,attempted
5,21.02.2019,16,steaming,fired upon,Kota Satria,container,Singapore,41567,9645487,02:59.5N ,005:56.6E ,Around 80nm South of Brass,Nigeria,"Around four to six armed pirates in a speed boat chased and fired upon the ship underway. Alarm raised, and non-essential crew mustered in the citadel. Due to evasive manoeuvres, the boarding was evaded. Nigerian Navy notified. Ship and crew reported safe.",Africa,attempted
6,27.02.2019,854,steaming,fired upon,NA,tanker,Marshall Islands,83805,NA,03:07.7N ,006:12.4E ,Around 69nm South of Brass,Nigeria,"Two skiffs with 16 armed persons chased, fired upon and attempted to board the tanker underway. General alarm raised, SSAS activated and non-essential crew mustered in the citadel. A security vessel in the vicinity responded to the master’s call resulting in the skiffs aborting and moving away. Crew and tanker reported safe. Incident reported to Nigerian Navy. ",Africa,attempted
7,27.02.2019,2000,steaming,fired upon,African Gem,product tanker,Panama,28326,9085390,03:08N ,006:03E ,Around 70nm South of Brass,Nigeria,"Duty officer onboard the tanker underway noticed on radar, two targets at a distance of 4nm. At 2nm the targets were seen to cross the stern, increase speed and approach at high speed. As the skiffs closed in to the tanker, they opened fire. The onboard Nigerian naval personnel returned fire. The skiffs retreated and followed the tanker for a short duration before moving away. ",Africa,attempted
8,28.02.2019,815,steaming,fired upon,Bourbon Explorer,offshore supply ship,France,3147,9653898,03:52.8N ,007:04.5E ,Around 30nm SSW of Bonny Island,Nigeria,"Two speed boats with 16-armed person chased and fired upon an offshore supply vessel underway. Alarm raised, vessel increased speed and commenced evasive manoeuvres and non-essential crew mustered in the citadel. The escorting security vessel intervened to repel the attack. Vessel sustain bullet damage on the bridge. All crew reported safe. Nigerian Navy escorted the vessel to a safe port. ",Africa,attempted
9,03.05.2019,2000,steaming,fired upon,NA,product tanker,Liberia,11118,NA,02:58.25N ,005:16.12E ,Around 98.54nm SW of Brass,Nigeria,"Armed persons in a speedboat chased and fired upon the tanker underway. Alarm raised, tanker increased speed commenced evasive manoeuvres and non-essential crew mustered in the citadel. Due to evasive manoeuvres, the boarding was evaded. Nigerian Navy notified. The tanker and crew reported safe. ",Africa,attempted
10,14.08.2019,1050,steaming,fired upon,Joseph Wisdom,LPG tanker,Panama,5848,9806732,04:09.6N ,008:22.5E ,Around 23nm SSE of Okposo,Nigeria,A suspicious boat approached and fired upon the tanker underway. Alarm raised and crews mustered in the citadel. Master took evasive actions resulting in the boat abandoning the attack. The tanker and crew reported safe. ,Africa,attempted
11,07.11.2019,15,steaming,fired upon,Cascade Spirit,tanker,Bahamas,83545,9399492,01:13.6N ,006:09.6E ,Around 57nm NNW of Sao Tome Island,Democratic Republic of Sao Tome and Principe,"Armed persons in a skiff approached and fired upon the tanker underway. Alarm raised, tanker increased speed and commenced evasive manoeuvres. Fire pump activated, and four parachute rockets discharged. Due to the actions of the Master and crew, the skiff aborted and moved away. The tanker and crew safe. ",Africa,attempted
12,13.12.2019,430,berthed,attempted,Nijinsky,LPG tanker,Singapore,16804,9364966,NA,NA,"Berth N37/2, Port of Algiers",Algeria,Duty crew onboard the berthed tanker noticed three unauthorised persons attempting to board via the forward mooring ropes. Alarm raised resulting in the persons escaping. Incident reported to PFSO. A search was carried out. Nothing reported stolen. ,Africa,attempted
13,21.12.2019,2230,anchored,attempted,African Kalmia,bulk carrier,Liberia,19213,9666431,NA,NA,Owendo Anchorage,Gabon,"Around six armed persons in a skiff came alongside an anchored ship and attempted to hook a ladder to board the ship. The persons threatened the crew with their weapons. Alarm raised and port authorities notified. Seeing the alerted crew, the armed persons aborted the attempted boarding. The ship and crew are safe.",Africa,attempted
